nom,code,type,gid,adresse,lon,lat
Prieuré de Cayac,D,D6,1262,,-0.6193635,44.7652608
Maison de la nature,D,D5,5178,53 rue du Moulineau,-0.6034503,44.7706636
Hôtel de ville,O,O1,91,,-0.6080131,44.7725116
Médiathèque Jacques Rivière,D,D1,2293,2 avenue du Président Vincent Auriol,-0.5201187,44.8552109
Le Rocher de Palmer,D,D4,4982,1 rue Aristide Briand,-0.5243035,44.8623401
Espace Simone Signoret,D,D4,16064,1 avenue Carnot,-0.5299636,44.8576893
Mairie Annexe Palmer,O,O1,8219,31 rue Camille Pelletan,-0.5204199,44.8607663
Centre d'Information et d'Orientation (CIO),E,E5,2349,,-0.5315976,44.8523515
Mairie Annexe La Marègue,O,O1,2352,,-0.5086861,44.8502863
Marché,O,O4,15502,,-0.5214656,44.8570166
Service Urbanisme,O,O2,16921,9 rue René Bonnac,-0.5307093,44.8569591
Compagnie Républicaine de Sécurité CRS 14,G,G1,2565,,-0.526283,44.8505001
Commissariat de police,G,G1,4787,135 avenue René Cassagne,-0.5175169,44.8520204
Place Frédéric Mistral,H,H1,2567,,-0.5085298,44.866279
Square Ulysse Gayon,H,H1,2573,,-0.5252656,44.8479623
Parc Palmer,H,H3,2577,,-0.5275372,44.858598
Parc du Cypressat,H,H3,2579,,-0.5289716,44.8456269
Place des Martyrs de la Résistance,H,H4,2582,,-0.517523,44.8616856
Place Flore,H,H1,10454,,-0.5143067,44.8579005
Parking,J,J8,2585,,-0.5331317,44.8539944
A. Palmer,J,J7,3280,,-0.5197168,44.8622326
A. Pelletan,J,J7,3281,,-0.5197241,44.8586969
A. La Marègue,J,J7,3283,,-0.5088829,44.8507331
A. Jean Zay,J,J7,3285,,-0.5131868,44.854112
Parking Curies/Jaurès,J,J8,3320,,-0.5314728,44.8580536
Parking Mairie de Cenon,J,J8,3321,,-0.5302959,44.8570544
EDF - Centre d'appels,K,K4,7492,,-0.5064459,44.8554871
Eglise Saint-Romain,L,L1,2591,,-0.5302159,44.8491923
Ecole Elémentaire René Girol,A,A2,575,,-0.6488708,44.8862473
Ecole Elémentaire Raymond Claverie,A,A2,578,25 rue Gilbert Caudéran,-0.6343185,44.8823144
Ecole Maternelle du Derby,A,A1,579,,-0.6396179,44.8766724
Ecole Elémentaire de La Forêt,A,A2,583,,-0.6496441,44.8635349
Ecole municipale de musique,A,A14,585,1 place du Général de Gaulle,-0.6510052,44.8842039
EHPAD Les Jardins de l'Ombrière,N,N1,8771,5 rue Olivier de Serres,-0.6566783,44.8898299
Croix Rouge - Unité locale des portes océanes,B,B3,8938,,-0.6337229,44.8797263
Service de santé au travail (AHI33) - Centre d'Eysines,B,B2,10082,,-0.6632015,44.8676434
Centre Médico-Psychologique (CMP),B,B2,11655,,-0.6481256,44.883726
Centre Communal Action Sociale (CCAS),B,B7,973,,-0.6486874,44.8857766
Centre social L'Eycho - Antenne du Vigean,B,B4,15205,,-0.6352327,44.8805847
Centre social L'Eycho - Antenne de Migron,B,B4,15206,,-0.6326834,44.8684194
Centre social L'Eycho - Antenne du Bourg,B,B4,15208,,-0.651143,44.8847338
Les restaurants du coeur,B,B3,15561,,-0.6374336,44.8906616
Piscine du Pinsan,C,C3,962,,-0.6530061,44.8725649
Tennis,C,C14,11994,,-0.6538636,44.8723946
Salle de tennis de table Bernard Gauthier,C,C2,12876,75 avenue de la Libération,-0.6515556,44.8835901
Skate parc,C,C1,14848,,-0.6508417,44.8724053
Terrain de basket,C,C15,14849,,-0.6516693,44.8710476
Terrain de football,C,C15,14850,,-0.6544254,44.8712441
Salle de danse,C,C2,16081,15 avenue de la Croix du Golf,-0.6358914,44.8715637
Médiathèque Jean Degoul,D,D1,942,,-0.64805,44.8857294
Centre culturel Le Plateau,D,D5,943,,-0.6478287,44.8859461
Théâtre de Verdure,D,D4,16082,,-0.6517949,44.8718222
Bureau de poste Migron,F,F4,1915,,-0.6352652,44.8683652
Cuisines centrales,O,O2,3533,,-0.6591189,44.8703429
Centre René Poujol,O,O2,5828,,-0.6328002,44.8683219
Cimetière du Bois Gramond,F,F3,9540,,-0.6443019,44.8716326
Bureau d'Information Jeunesse (BIJ),F,F1,9545,67 avenue de la Libération,-0.6511758,44.8846533
Ateliers municipaux,O,O2,11115,,-0.6635967,44.8595731
Square Place Florale,H,H1,928,,-0.635684,44.8687295
Parc Lescombes,H,H3,929,,-0.6540573,44.8802124
Parc du Derby,H,H3,5837,,-0.6386645,44.876082
RPA Bleu Résidence,N,N2,16174,20 avenue du Président Salvador Allende,-0.5218503,44.8676485
Gymnase Les Iris,C,C2,851,,-0.5307263,44.8680237
City stade Bas Carriet,C,C11,15662,,-0.5237438,44.8862059
City stade Alpilles Vincennes,C,C11,15663,,-0.5242765,44.8697552
City stade Lescalle,C,C11,16179,,-0.5288825,44.874827
Terrain de football,C,C15,16181,,-0.5285439,44.8700794
City stade,C,C11,16184,,-0.5103878,44.8713794
Maison des Associations et de la Citoyenneté,O,O6,16881,1 chemin des Iris,-0.5303156,44.8682413
Musée des Amis du Vieux Lormont,D,D3,884,,-0.5254892,44.8771065
Musée National de l'assurance maladie,D,D3,17461,,-0.5208798,44.8817661
Pôle emploi,E,E11,880,,-0.5237219,44.8818074
Pôle Territorial de Solidarité des Hauts de Garonne,B,B10,921,7 avenue de la Libération,-0.5198124,44.8725772
Direction Interdépartementale des Routes Atlantique (DIRA) - Centre d'Entretien et d'Intervention (CEI),E,E7,3167,,-0.5158283,44.8859405
Maison départementale de la sécurité routière,E,E7,8173,,-0.5160956,44.8850672
Relais Assistantes Maternelles (RAM),P,P5,3170,18 boulevard Odilon Redon,-0.5273917,44.8805602
Marché de la Place Magendie,O,O4,15301,,-0.5255529,44.8817985
Crèche multi-accueil Les Marmoussets,P,P1,1467,14 rue des Liserons,-0.6279109,44.8298476
Halte-garderie Les Ecureuils,P,P2,1475,,-0.6516851,44.8513943
Crèche multi-accueil Croqu'île,P,P1,1479,Avenue Président René Coty,-0.6521939,44.8384277
Crèche multi-accueil Les Petits Lutins,P,P1,1482,12 rue Georges Mandel,-0.6210431,44.8356337
Centre de médecine professionnelle,B,B2,1604,,-0.6503249,44.8468163
Groupe pour l'Insertion des personnes Handicapées Physiques (GIHP),B,B3,4769,,-0.6424505,44.8405118
Etablissement et Services d'Aide par le Travail Les Ateliers Saint-Joseph (ESAT),B,B9,5685,,-0.6632364,44.8444551
Foyer Restaurant Les Anciens du Jard,N,N4,5766,43 rue du Jard,-0.6387515,44.8428601
Foyer Restaurant Les Fauvettes,N,N4,5787,20 résidence Les Fauvettes,-0.6482244,44.8435038
RPA Jean Mermoz,N,N2,5872,2 rue des Vignobles,-0.6549888,44.8497877
Centre Médico-Psychologique (CMP),B,B2,5912,,-0.6393381,44.8407292
Foyer Occupationnel Appartement de Préparation et d'Entrainement à l'Autonomie (FO APEA),B,B8,7560,,-0.6368561,44.8372563
Les restaurants du coeur,B,B3,10136,,-0.6467833,44.8534656
Halte-garderie La Maison de Pierre,P,P2,11316,17 rue Amiral Courbet,-0.6273251,44.8199421
Médecins Sans Frontières Logistique (MSF),B,B3,11570,,-0.6778304,44.8256703
Croix Rouge - Unité locale de Mérignac,B,B3,11574,,-0.6467732,44.8536899
Résidence Universitaire Clairefontaine 1,A,A7,11827,,-0.6146165,44.8258484
EHPAD Les Parentèles de Mérignac,N,N1,12298,65 avenue de l'Alouette,-0.6617207,44.8237417
Micro-crèche Les Jardins d'Olympe,P,P3,14444,34 avenue de la Foret,-0.6461372,44.8550219
Crèche multi-accueil Papa Tango Charly,P,P1,15256,85 avenue J.F Kennedy,-0.6851651,44.8361073
Association Française contre les Myopathies (AFM),B,B3,15841,,-0.6903644,44.8383867
Caisse Allocations Familiales (CAF),E,E10,16163,,-0.5197381,44.8757463
Cimetière,F,F3,849,,-0.5302577,44.8762763
Cuisines centrales,O,O2,882,,-0.5149899,44.8776678
Centre technique municipal,O,O2,5096,,-0.5310209,44.8814679
Pôle Brassens - Camus,O,O2,9594,,-0.5174971,44.8720664
Bureau de poste Carriet,F,F4,13117,,-0.5248374,44.8829607
Bureau de poste des 4 Pavillons,F,F4,13147,,-0.5157697,44.8671312
Maison des Initiatives et de l'EmpLoi (MIEL),O,O2,16162,4 avenue de la Libération,-0.519705,44.8759662
Salle de Lissandre,O,O5,16170,,-0.531092,44.8635906
Parc du Bois Fleuri,H,H3,864,,-0.5243522,44.8760318
Parking,J,J8,988,,-0.5331884,44.8770496
A. Buttinière,J,J7,3279,,-0.5249216,44.8640928
A. Carriet,J,J7,3410,,-0.5238693,44.8821885
Embarcadère place Aristide Briand,J,J12,16922,,-0.5346331,44.8781374
Eglise Saint-Martin,L,L1,910,,-0.5314535,44.8775114
Temple mormon,L,L1,911,,-0.5253384,44.8713467
Centre évangélique,L,L1,912,,-0.5184879,44.8682357
Ecole Elémentaire Jean de la Fontaine,A,A2,6797,,-0.7790755,44.8429007
Ecole Maternelle Jean Castagnet,A,A1,6798,8 rue de la Marne,-0.7782114,44.8434161
Ecole Elémentaire Aimé Césaire,A,A2,6805,18 rue Louis Blanc,-0.7661095,44.8469184
Ecole Maternelle Flora Tristan,A,A1,6806,16 rue Louis Blanc,-0.7654407,44.8468878
Foyer occupationnel et d'hébergement ADAPEI,B,B8,8291,,-0.7699956,44.8363564
Halte-garderie La Maison des Lutins,P,P2,11368,,-0.7651889,44.8484036
Centre Communal Action Sociale (CCAS),B,B7,6745,,-0.7759674,44.8400785
Salle omnisports Hélène Boucher,C,C2,6761,,-0.7828921,44.845936
Skate parc,C,C1,6787,,-0.7793261,44.8460213
Accueil de loisirs L'Espace des Chênes,B,C8,6792,,-0.7788936,44.8437224
Tennis,C,C14,6795,,-0.7799045,44.843247
Stade Françoise Guillemet,C,C13,6801,,-0.7718195,44.8459685
City stade,C,C11,6803,,-0.7725395,44.8460261
Parc des sports et de loisirs Colette Besson,C,C4,6804,,-0.7650405,44.8461073
Maison des Arts Martiaux Lucie Decosse,C,C2,17481,3 allée André Dolange,-0.7798046,44.8441929
Salle Gérard Philippe,D,D4,6790,5 allée André Dolange,-0.7793726,44.8442015
Bureau de poste,F,F4,6752,,-0.7758211,44.8407335
Parking des Bruyères,J,J8,6818,,-0.7759179,44.8418255
Parking de la Marne,J,J8,6820,,-0.7775321,44.8432347
Parking des Ecoles,J,J8,6821,,-0.7799533,44.8424696
Parking Alban Moga,J,J8,6822,,-0.7703478,44.8356063
Parking du Collège Alienor d'Aquitaine,J,J8,6823,,-0.7801237,44.8465322
Collège Gisèle Halimi,A,A3,101,15 rue Frédéric Joliot-Curie,-0.6504627,44.8426332
Ecole Elémentaire Jean Jaurès 1,A,A2,425,54 avenue du Bedat,-0.6464517,44.85121
Ecole Elémentaire Jean Jaurès 2,A,A2,427,54 avenue du Bedat,-0.6466394,44.8507588
Ecole Maternelle Jean Macé,A,A1,430,7 avenue Jean Mace,-0.6613811,44.8418283
Ecole Elémentaire Jean Macé,A,A2,431,7 avenue Jean Macé,-0.6619834,44.8418702
Ecole Elémentaire du Parc,A,A2,433,4 rue Goya,-0.655135,44.8387289
STS Fernand Daguin,A,A5,434,,-0.6498535,44.8366352
Ecole Elémentaire de Bourran,A,A2,436,3 rue Léo Lagrange,-0.6354899,44.8389281
Ecole Elémentaire Anatole France,A,A2,438,4 rue Françoise Dolto,-0.620823,44.8360084
Ecole Maternelle Anatole France,A,A1,439,4 rue Françoise Dolto,-0.6210338,44.8360083
Ecole Maternelle de Peychotte,A,A1,440,4 rue Camille Vic,-0.6248092,44.8260318
Ecole Maternelle Joséphine Baker,A,A1,444,10 avenue Robert Schuman,-0.6367696,44.8178183
Ecole Elémentaire Joséphine Baker,A,A2,445,15 rue du Général Weygand,-0.6393457,44.8175926
Ecole Elémentaire Oscar Auriac,A,A2,452,198 avenue de l'Argonne,-0.6993337,44.8181444
Ecole Maternelle Oscar Auriac,A,A1,453,,-0.6983451,44.81757
Lycée professionnel Marcel Dassault,A,A4,1151,,-0.6484318,44.8351216
Ecole Maternelle Ferdinand Buisson,A,A1,5072,74 avenue des Marronniers,-0.6795688,44.8431412
Kedge Business School,A,A5,5681,17 rue Thales,-0.6745977,44.8341915
ALTEA Formation,A,A5,5871,,-0.673869,44.8292683
Ecole Elémentaire Ferdinand Buisson,A,A2,10154,74 avenue des Marronniers,-0.6792578,44.8432073
Aire d'accueil des gens du voyage La Chaille,B,B12,1367,,-0.6871684,44.813254
Centre de Formation des Girondins de Bordeaux,A,A13,804,31 rue Joliot Curie,-0.6694038,44.8735893
Crèche multi-accueil Les Fils d'Ariane,P,P1,1670,2 rue Altair,-0.689131,44.8719702
EHPAD La Clairière de Bel Air,N,N1,7098,1 impasse Bel Air,-0.6721783,44.8704562
FC Girondins de Bordeaux,C,C4,1676,31 rue Joliot Curie,-0.6703635,44.8756183
Espace de la Sablière,C,C2,1677,57 rue du Médoc,-0.6744283,44.8858864
Ligue de football d'Aquitaine - Centre technique régional,E,E9,1678,17 rue Joliot Curie,-0.6734451,44.8763758
Tennis,C,C14,12013,,-0.6755317,44.8751211
Parcours de santé,C,C1,16142,,-0.6743385,44.8729649
Pépinières municipales (ville de Bordeaux),O,O2,2518,Rue du Moulineau,-0.6679038,44.8702865
Bois du Déhès,H,H3,10500,,-0.6804159,44.8909
Parking Place Henri Bos,J,J8,3326,,-0.6772942,44.8737649
Parking,J,J8,17501,,-0.6794104,44.8736478
Ecole Maternelle Paul Fort,A,A1,476,,-0.52641,44.8864065
Ecole Maternelle Condorcet,A,A1,487,,-0.5244463,44.87138
"Ecole municipale de musique, danse et théâtre Dominique Boudot",A,A14,13477,,-0.5243028,44.8769639
Centre Hospitalier Universitaire (CHU) - Centre de gérontologie,B,B1,859,8 rue Pierre Mendès-France,-0.5159632,44.8793304
Association pour le Droit à l'Initiative Economique (ADIE),B,B3,11718,,-0.5219365,44.8745115
Crèche multi-accueil La Ramade,P,P1,15941,13 rue Hippolyte Gourdon,-0.5090367,44.8702945
Square Simone de Beauvoir,H,H1,17062,,-0.6160613,44.8329707
Parc Victor Schoelcher,H,H3,17121,,-0.6338829,44.8389174
Aéroport de Bordeaux Mérignac,J,J1,1899,,-0.7141176,44.8307333
Parking Beutre,J,J8,1917,,-0.6997325,44.8181264
Parking Aéroport P2,J,J10,7677,,-0.698185,44.8317662
Complexe sportif Léo Lagrange,C,C4,1191,4 rue Camille Montoya,-0.5979484,44.9447312
